#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
16.0,16,257.828578
17.0,17,257.842233
22.0,22,257.860234
67.0,67,257.917432
37.0,37,257.948211
16.0,16,257.961921
30.0,30,257.984343
67.0,67,258.04257
35.0,35,258.070675
30.0,30,258.094035
14.0,14,258.108184
37.0,37,258.13922
23.0,23,258.157079
43.0,43,258.193719
26.0,26,258.213805
22.0,22,258.232632
39.0,39,258.264533
18.0,18,258.282082
40.0,40,258.31609
44.0,44,258.361095
21.0,21,258.379765
58.0,58,258.431535
54.0,54,258.481606
19.0,19,258.4998
73.0,73,258.564803
29.0,29,258.591298
44.0,44,258.635905
86.0,86,258.711051
57.0,57,258.757645
69.0,69,258.815249
16.0,16,258.82714
51.0,51,258.870161
122.0,122,258.973769
43.0,43,259.007449
13.0,13,259.020047
26.0,26,259.039356
36.0,36,259.069874
67.0,67,259.137469
19.0,19,259.16576
13.0,13,259.182698
24.0,24,259.214539
79.0,79,259.305048
101.0,101,259.412346
71.0,71,259.4907
56.0,56,259.548681
37.0,37,259.58372
40.0,40,259.632003
41.0,41,259.679497
143.0,143,259.830615
26.0,26,259.854769
31.0,31,259.885528
111.0,111,260.003806
40.0,40,260.044866
58.0,58,260.099206
17.0,17,260.118332
14.0,14,260.130828
16.0,16,260.146439
70.0,70,260.21509
71.0,71,260.283527
52.0,52,260.336708
27.0,27,260.363003
30.0,30,260.397418
52.0,52,260.451601
14.0,14,260.468173
19.0,19,260.489669
56.0,56,260.551218
30.0,30,260.584993
12.0,12,260.597629
42.0,42,260.645024
99.0,99,260.772157
18.0,18,260.789837
14.0,14,260.808074
48.0,48,260.861107
14.0,14,260.8734
15.0,15,260.893664
19.0,19,260.916956
17.0,17,260.936118
22.0,22,260.962875
84.0,84,261.068899
153.0,153,261.205044
26.0,26,261.224783
33.0,33,261.251925
16.0,16,261.265097
74.0,74,261.329541
21.0,21,261.345527
125.0,125,261.450839
13.0,13,261.463704
51.0,51,261.504417
55.0,55,261.552667
26.0,26,261.574644
11.0,11,261.581723
43.0,43,261.617214
30.0,30,261.642848
33.0,33,261.668451
66.0,66,261.721892
55.0,55,261.777056
24.0,24,261.798447
12.0,12,261.808361
27.0,27,261.831475
31.0,31,261.857445
28.0,28,261.881507
93.0,93,261.960626
26.0,26,261.979657
41.0,41,262.016184
79.0,79,262.077724
64.0,64,262.129194
15.0,15,262.14196
45.0,45,262.178956
19.0,19,262.197197
19.0,19,262.213171
79.0,79,262.276807
65.0,65,262.331244
17.0,17,262.344976
52.0,52,262.388193
32.0,32,262.414642
70.0,70,262.476023
80.0,80,262.542424
26.0,26,262.563582
24.0,24,262.58331
16.0,16,262.596017
23.0,23,262.617568
